ref_area,indicator,source,sex,classif1,classif2,time,obs_value,note_source
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_YLT15,,1991,907965.864,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y15-24,,1991,517898.043,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y25-34,,1991,428035.63,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y35-44,,1991,329513.421,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y45-54,,1991,225058.211,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_Y55-64,,1991,171850.575,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_10YRBANDS_YGE65,,1991,143980.769,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_TOTAL,,1991,2688368.174,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_YLT15,,1991,861898.889,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y15-24,,1991,497247.504,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y25-34,,1991,413168.319,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y35-44,,1991,321269.511,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y45-54,,1991,223041.446,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_Y55-64,,1991,178391.457,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_10YRBANDS_YGE65,,1991,193351.048,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_TOTAL,,1991,5412670.681,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_YLT15,,1991,1769864.752,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_Y15-24,,1991,1015145.544,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_Y25-54,,1991,1940086.535,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_Y55-64,,1991,350242.031,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_AGGREGATE_YGE65,,1991,337331.819,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_TOTAL,,1991,2724302.513,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_YLT15,,1991,907965.864,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_Y15-24,,1991,517898.043,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_Y25-54,,1991,982607.262,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_Y55-64,,1991,171850.575,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_M,AGE_AGGREGATE_YGE65,,1991,143980.769,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_TOTAL,,1991,2688368.174,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_YLT15,,1991,861898.889,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_Y15-24,,1991,497247.504,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_Y25-54,,1991,957479.276,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_Y55-64,,1991,178391.457,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_F,AGE_AGGREGATE_YGE65,,1991,193351.048,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_YGE15,,1991,3642805.929,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_Y15-64,,1991,3305474.11,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_Y15-24,,1991,1015145.544,R1:2474
X01,POP_2POP_SEX_AGE_NB,XA:8405,SEX_T,AGE_YTHADULT_YGE25,,1991,2627660.385,R1:2474
